TrialCode,Year,yield,grain_size,grain_no,estimatedVPD,sw_stress,sw_supply,sw_demand
trial_1627,2021,4.0022,0.041,9761.395,168.172,166.3367517,491.026,276.609
trial_1628,2021,4.8116,0.041,11735.58,224.784,156.9982847,745.072,385.051
trial_1629,2021,2.2155,0.032,6963.174,190.387,173.2624549,517.478,155.86599999999999
trial_1631,2021,4.5517,0.041,11101.8,134.601,163.5966662,799.398,293.555
trial_1632,2021,4.7236,0.041,11521.06,182.606,195.4857465,838.213,332.214
trial_1633,2021,2.7408,0.028,9666.914,195.179,132.6147053,416.626,241.37199999999999
trial_1634,2021,4.0905,0.039,10433.13,211.303,133.3983841,513.532,290.809
trial_1635,2021,3.9359,0.041,9599.649,185.657,152.210634,424.314,251.526
trial_1636,2021,5.5003,0.041,13415.44,199.633,182.2557726,919.143,356.561
trial_1638,2021,2.8999,0.034,8485.51,185.52,167.340581,489.7,181.347
trial_1639,2021,4.7752,0.041,11646.8,179.8,190.8477152,830.949,357.35699999999997
trial_1640,2021,2.8253,0.034,8284.685,183.494,164.9355955,379.06,179.928
trial_1641,2021,3.3137,0.03,10962.34,209.653,140.6426947,580.065,270.065
trial_1642,2021,4.6524,0.041,11347.27,184.314,176.9356927,916.437,355.583
trial_1643,2021,4.1533,0.041,10129.99,191.799,177.0606045,664.669,235.003
trial_1644,2021,2.1458,0.041,5233.7,160.306,142.5433984,480.724,180.949
trial_716,2015,1.334,0.041,3253.721,195.444,161.0,664.608,52.656
trial_717,2015,1.0963,0.018,6142.866,208.438,138.975505896,242.12,131.295
trial_718,2015,2.5759,0.027,9700.932,204.842,192.161686511,1082.418,170.177
trial_719,2015,3.247,0.032,10261.208,206.52100000000002,164.508183298,817.632,220.877
trial_720,2015,1.7464,0.029,6114.789,188.292,165.0,815.213,103.371
trial_722,2015,2.483,0.032,7843.71,213.356,176.082205234,494.757,154.224
trial_723,2015,0.8861,0.019,4782.105,214.455,167.33832977,298.314,105.865
trial_724,2015,1.7536,0.028,6357.938,198.278,167.0,673.7620000000001,109.621
trial_725,2015,2.2949,0.025,9129.152,197.282,180.814243772,618.597,172.153
trial_727,2015,2.9234,0.033,8804.942,211.07,120.567178123,331.528,281.591
trial_729,2015,2.7413,0.028,9672.557,211.71699999999998,139.792058138,421.126,217.766
trial_730,2015,1.3201,0.041,3219.854,197.831,159.0,655.476,55.507
trial_731,2015,1.2643,0.039,3228.328,193.936,168.0,718.208,48.163
trial_732,2015,3.7622,0.027,14060.309,209.911,181.788179773,858.273,298.733
trial_734,2015,2.4678,0.032,7605.647,192.904,151.666504735,382.356,160.31
trial_735,2015,1.0968,0.03,3686.096,200.463,174.0,745.621,61.667
trial_737,2015,2.6725,0.028,9609.247,198.753,154.412787477,643.901,225.72899999999998
trial_738,2015,3.7934,0.034,11061.641,183.556,161.77869386,795.009,256.831
trial_739,2015,4.2145,0.041,10279.299,192.258,135.079463519,542.719,331.06
trial_741,2015,1.5321,0.024,6394.263,205.511,168.361424138,334.326,124.381
trial_742,2015,4.4891,0.041,10948.983,169.514,180.719575878,691.0,221.495
trial_743,2015,1.6088,0.024,6629.771,222.256,158.599700765,324.003,130.035
trial_744,2015,4.1157,0.041,10038.172,172.735,137.243063771,611.609,316.291
trial_745,2015,0.897,0.025,3620.962,205.734,189.054837991,531.516,61.063
trial_746,2015,2.3435,0.026,9149.81,201.713,197.742915536,862.403,162.115
trial_747,2015,2.7703,0.041,6756.711,196.391,108.224217947,294.889,229.094
trial_748,2015,2.5434,0.041,6203.465,185.491,106.121796444,247.957,209.975
trial_749,2015,2.6801,0.034,7902.265,177.371,157.0,770.743,148.547
trial_750,2015,1.2248,0.041,2987.284,178.311,150.0,895.352,49.712
trial_751,2015,4.5721,0.039,11791.13,202.799,191.540390372,868.965,276.713
trial_752,2015,1.2747,0.041,3108.938,193.999,193.0,814.484,48.921
trial_753,2015,4.9926,0.039,12832.459,188.324,176.904553024,798.442,314.677
trial_754,2015,3.9134,0.041,9544.823,156.947,168.748992734,754.848,276.058
trial_755,2015,3.365,0.029,11511.935,199.796,164.578183168,765.063,238.411
trial_756,2015,2.7011,0.034,8031.244,175.996,172.604881148,505.716,136.964
trial_757,2015,1.7701,0.027,6667.581,205.925,167.0,798.593,116.802
trial_758,2015,3.067,0.026,12018.588,201.559,169.671670111,664.264,239.618
trial_759,2015,3.0983,0.031,9989.458,191.212,173.104383468,557.028,190.786
trial_760,2015,1.9329,0.025,7759.073,220.036,177.491478578,508.26800000000003,159.723
trial_761,2015,1.1512,0.034,3341.316,216.042,195.0,938.665,62.669000000000004
trial_762,2015,2.2045,0.027,8240.48,209.43,166.401599677,282.349,155.076
trial_763,2015,3.2021,0.041,7809.937,202.797,106.082476046,316.039,280.176
trial_764,2015,4.1209,0.038,10783.793,181.971,174.822945626,507.118,208.157
trial_765,2015,1.1841,0.036,3261.976,200.652,199.0,1522.247,50.522
trial_767,2015,1.563,0.026,6125.863,211.728,159.468031369,374.626,130.828
trial_768,2015,4.6441,0.041,11327.108,150.715,168.726934236,631.576,294.097
trial_769,2015,1.5815,0.026,6057.944,184.011,182.0,598.22,100.776
trial_770,2015,4.9984,0.041,12191.202,174.045,177.579678598,650.899,299.278
trial_771,2015,1.5254,0.024,6415.861,200.252,166.267923629,336.877,122.257
trial_772,2015,3.2121,0.027,11706.434,195.529,190.013988725,944.276,201.963
trial_773,2015,3.6072,0.032,11226.19,214.425,128.293009976,396.8,304.357
trial_774,2015,2.6559,0.036,7471.785,182.207,177.31392922,430.59,135.199
trial_775,2015,5.8669,0.041,14309.567,204.913,176.88821021,1000.354,333.507
trial_776,2015,3.5616,0.041,8686.844,220.17,127.685641319,340.669,288.454
trial_777,2015,2.7826,0.033,8359.771,217.555,139.27194006,350.963,222.718
trial_778,2015,2.4233,0.026,9190.924,199.878,179.584027699,762.937,178.482
trial_779,2015,3.6726,0.03,12073.763,205.795,160.979610583,801.963,272.476
trial_781,2015,1.6647,0.026,6505.152,195.791,169.0,669.873,109.133
trial_782,2015,2.5464,0.031,8137.828,189.581,161.932232148,414.951,151.578
trial_783,2015,1.7002,0.03,5612.989,182.72,150.232724525,285.232,102.682
trial_784,2015,2.4813,0.03,8306.698,187.178,179.0,789.432,143.457
trial_785,2015,3.2284,0.028,11624.066,180.545,191.286917554,746.271,186.576
trial_786,2015,1.1091,0.032,3454.084,210.784,193.0,988.197,59.277
trial_787,2015,1.2058,0.04,3030.151,176.972,183.0,946.937,40.419
trial_788,2015,1.3941,0.02,6924.961,206.516,160.425696929,437.269,164.675
trial_789,2015,1.6854,0.031,5517.398,201.727,153.169440213,290.937,111.926
trial_790,2015,1.412,0.038,3673.208,209.241,178.0,882.22,54.634
trial_791,2015,1.2939,0.037,3534.307,195.44,166.0,1109.975,53.619
trial_792,2015,3.5967,0.041,8772.515,186.017,120.700441936,378.682,281.676
trial_793,2015,2.6636,0.029,9035.047,212.314,138.931870311,427.346,221.087
trial_794,2015,3.7227,0.041,9079.875,168.148,162.587356866,633.596,284.573
trial_795,2015,2.4011,0.027,8758.494,215.575,160.444938808,444.668,190.079
trial_796,2015,1.4971,0.03,5013.924,206.138,188.238840568,515.157,95.812
trial_797,2015,3.5699,0.041,8707.17,173.176,136.82358583,669.826,303.874
trial_798,2015,2.1523,0.031,6965.61,191.939,153.747873857,381.343,150.635
trial_799,2015,1.3941,0.026,5346.844,209.915,132.810229608,135.581,122.585
trial_800,2015,1.1808,0.034,3514.259,205.291,172.0,584.73,55.454
trial_801,2015,2.242,0.028,8084.237,207.918,146.457495908,481.006,176.147
trial_802,2015,2.8374,0.027,10361.433,211.476,147.104959333,573.2,225.978
trial_803,2015,5.0721,0.041,12371.081,204.008,192.775409641,1202.337,350.73199999999997
trial_804,2015,1.7552,0.04,4363.858,175.477,173.374081441,226.318,75.034
trial_805,2015,2.5222,0.03,8299.443,204.185,176.0,1063.185,161.681
trial_806,2015,3.1662,0.028,11349.203,202.671,185.130311256,998.741,207.088
trial_807,2015,3.1978,0.041,7799.522,150.173,145.0,906.384,217.106
trial_808,2015,0.7569,0.024,3215.008,191.055,191.0,483.71,46.902
trial_809,2015,2.1584,0.026,8440.438,189.335,176.839275694,445.744,156.766
trial_810,2015,1.7649,0.037,4805.643,191.337,176.321740989,260.148,84.72
trial_811,2015,1.2891,0.041,3144.152,203.815,192.0,938.375,50.826
trial_812,2015,2.7578,0.036,7759.305,194.553,167.0,1277.458,141.505
trial_813,2015,1.47,0.031,4814.524,185.063,149.568471061,263.84,93.229
trial_815,2015,3.4099,0.028,12202.992,215.81,193.328480682,1151.435,217.919
trial_816,2015,1.6148,0.026,6147.286,213.36599999999999,91.189798385,185.005,240.601
trial_817,2015,3.3165,0.035,9478.213,175.767,174.7594471,544.5,181.524
trial_818,2015,2.6276,0.032,8120.657,194.68,183.0,1408.846,145.038
trial_819,2015,3.941,0.041,9612.302,166.488,161.4411503,713.529,286.4
trial_821,2015,2.3652,0.023,10065.88,196.194,190.9720999,646.234,163.437
trial_822,2015,3.1652,0.027,11614.46,204.467,148.3432189,608.4110000000001,273.284
trial_823,2015,4.5309,0.041,11050.92,153.944,167.2615239,781.286,273.37
trial_824,2015,4.1968,0.029,14317.26,215.895,189.7715674,1066.651,278.94
trial_825,2015,3.0728,0.041,7494.721,231.071,108.6847751,307.651,280.38
trial_826,2015,2.8792,0.028,10161.61,204.601,164.3642981,582.013,215.902
trial_827,2015,3.6884,0.032,11556.69,208.466,150.7196569,623.905,263.047
trial_828,2015,2.0978,0.026,8214.781,186.204,168.3650563,435.921,153.362
trial_829,2015,0.7047,0.021,3357.948,216.141,178.6159622,360.654,59.437
trial_830,2015,4.5753,0.041,11159.18,163.709,171.342745,725.364,293.977
trial_831,2015,3.1809,0.034,9406.0,159.223,177.1486398,477.394,162.86599999999999
trial_832,2015,2.4971,0.028,8822.151,187.587,172.846875,603.26,167.046
trial_833,2015,1.4575,0.022,6554.762,213.631,155.3418864,502.302,118.327
trial_835,2015,1.3608,0.025,5342.73,207.132,169.7379885,290.402,111.003
trial_836,2015,3.3439,0.036,9331.464,149.318,185.6646969,831.359,157.001
trial_837,2015,3.57,0.028,12827.05,195.365,182.0912865,740.674,253.739
trial_838,2015,2.49,0.03,8309.029,208.62199999999999,178.4097087,627.771,165.666
trial_839,2015,3.6119,0.033,11010.95,210.334,112.2813626,394.418,305.207
trial_840,2015,5.4127,0.041,13201.6,162.014,192.9803628,743.609,313.044
trial_841,2015,2.3374,0.025,9200.313,197.252,172.477254,582.867,168.117
trial_842,2015,2.5025,0.022,11239.75,199.34199999999998,145.4730325,389.73,230.017
trial_844,2015,3.1656,0.027,11627.14,206.518,147.1918332,621.777,314.77
trial_845,2015,1.8614,0.026,7209.158,205.181,197.0,1252.959,120.743
trial_846,2015,1.3677,0.024,5612.546,209.91,167.6632958,208.196,98.811
trial_847,2015,1.3882,0.041,3388.376,201.302,167.0,928.252,54.281
trial_848,2015,2.2635,0.022,10181.87,207.468,182.112602,671.297,194.239
trial_849,2015,3.0048,0.029,10268.91,213.094,130.3225817,441.09,278.827
trial_850,2015,3.7296,0.031,12009.82,193.779,158.8410868,732.082,267.416
trial_851,2015,2.6972,0.036,7483.357,221.142,176.3056737,528.378,156.988
trial_852,2015,3.4755,0.041,8476.934,163.927,146.8089785,637.34,261.861
trial_853,2016,2.5046,0.029,8558.33,195.894,182.0403736,553.422,149.039
trial_855,2016,3.7636,0.041,9179.547,173.827,191.4125811,1240.686,333.753
trial_856,2016,4.5142,0.041,11010.24,177.075,164.0893112,822.11,338.66
trial_857,2016,2.0069,0.024,8511.706,194.471,161.8343534,343.247,150.114
trial_858,2016,4.1592,0.03,13879.87,216.973,172.9983426,513.715,259.927
trial_860,2016,4.9487,0.035,13970.69,197.523,169.3161448,511.496,261.495
trial_861,2016,4.3342,0.035,12227.35,193.533,188.2064689,804.956,241.401
trial_862,2016,3.9617,0.041,9662.703,189.023,191.5642146,1176.907,351.483
trial_863,2016,4.3238,0.041,10545.87,188.823,137.9919798,535.167,411.299
trial_864,2016,4.2881,0.041,10458.8,180.602,158.8500081,735.763,308.6
trial_865,2016,3.9299,0.041,9585.203,179.376,153.8249818,657.144,339.501
trial_866,2016,2.8055,0.029,9726.344,194.665,166.488386,374.23,169.184
trial_867,2016,2.5244,0.031,8162.561,189.818,183.7643897,425.885,136.166
trial_868,2016,4.9088,0.041,11972.8,179.819,188.9456767,1126.874,389.409
trial_869,2016,3.34,0.041,8146.294,172.751,105.6400303,434.311,287.026
trial_870,2016,3.4686,0.037,9335.463,183.305,178.654767,664.289,175.934
trial_871,2016,4.0668,0.041,9918.934,176.853,186.2075675,1271.033,357.834
trial_872,2016,4.0571,0.041,9895.343,184.907,151.5450139,660.324,332.132
trial_873,2016,3.3268,0.041,8114.205,132.75,206.0,1229.376,226.645
trial_874,2016,4.3603,0.041,10634.98,189.067,156.3804489,707.106,382.123
trial_875,2016,4.6011,0.04,11421.29,181.571,177.5343099,833.041,231.278
trial_876,2016,3.7858,0.034,11057.38,185.37,152.7981538,384.911,214.442
trial_877,2016,4.0135,0.041,9788.929,180.784,206.8955971,1547.794,328.117
trial_878,2016,2.5145,0.025,9949.563,208.686,188.2977232,686.337,166.168
trial_879,2016,3.1714,0.028,11381.04,216.682,179.8674153,571.446,212.615
trial_880,2016,4.4907,0.041,10953.02,171.712,181.2023692,634.476,217.178
trial_881,2016,3.5389,0.041,8631.35,168.559,203.7925317,1469.06,308.103
trial_882,2016,3.7902,0.041,9244.437,164.558,204.9669272,1464.579,305.924
trial_883,2016,3.0882,0.041,7532.316,173.546,106.5176983,434.231,281.566
trial_884,2016,3.6422,0.041,8883.329,181.721,141.3096154,522.745,261.538
trial_885,2016,2.596,0.041,6331.748,164.87,123.2132211,579.847,239.057
trial_886,2016,3.8047,0.041,9279.845,167.964,146.725154,531.221,309.674
trial_887,2016,1.8937,0.041,4618.793,172.394,170.0,524.485,96.827
trial_888,2016,5.0169,0.041,12236.38,179.851,211.5664906,1439.948,339.334
trial_889,2016,4.3362,0.041,10576.13,183.859,195.3810178,882.321,214.621
trial_890,2016,3.8922,0.041,9493.229,160.096,199.9595716,1425.464,325.984
trial_891,2016,1.9065,0.039,4835.225,154.03,193.0,1166.336,64.982
trial_892,2016,3.1158,0.041,7599.458,181.223,183.0,1015.174,184.315
trial_893,2016,2.5383,0.029,8740.25,174.146,203.0,1497.851,121.176
trial_895,2016,4.263,0.041,10397.55,174.836,185.4725151,1282.349,375.415
trial_896,2016,2.853,0.025,11309.74,204.27100000000002,178.8826139,486.249,193.421
trial_898,2016,4.0891,0.041,9973.346,187.667,190.0037463,1096.082,333.886
trial_899,2016,1.7708,0.027,6583.896,216.455,198.0,1422.357,105.484
trial_900,2016,3.2044,0.041,7815.581,175.267,114.3431627,448.786,292.093
trial_901,2016,2.5574,0.033,7729.593,183.85399999999998,204.0,1500.575,121.302
trial_902,2016,4.2283,0.041,10313.03,171.26,200.3251418,1331.316,332.476
trial_903,2016,3.8745,0.041,9449.891,170.474,193.6907519,1045.575,320.426
trial_904,2016,2.4816,0.027,9313.734,213.646,168.0171638,333.99,175.856
trial_905,2016,1.839,0.032,5729.189,155.897,201.0,1183.708,68.281
trial_906,2016,2.8361,0.038,7490.146,179.621,190.7046935,776.855,137.077
trial_907,2016,2.5162,0.028,8982.172,176.685,207.0,1406.835,119.019
trial_908,2016,0.8976,0.026,3449.729,203.387,200.0,580.378,42.136
trial_909,2016,3.8565,0.041,9406.192,168.495,194.9772848,1359.884,316.321
trial_910,2016,3.9357,0.041,9599.382,183.004,157.7477698,691.754,349.598
trial_911,2016,1.0761,0.037,2901.877,194.316,205.0,993.927,36.92
trial_913,2016,3.8857,0.041,9477.211,173.658,193.879069,1336.004,333.676
trial_914,2016,4.0749,0.041,9938.773,199.424,107.6603897,420.508,390.478
trial_915,2016,3.8751,0.041,9451.441,177.891,176.3993253,841.5409999999999,341.606
trial_918,2016,2.0071,0.024,8434.968,204.403,167.5519953,419.671,156.941
trial_919,2016,3.4421,0.033,10378.19,185.495,181.624964,660.426,178.718
trial_920,2016,4.0089,0.041,9777.721,181.333,149.0839034,638.921,319.922
trial_921,2016,3.1912,0.034,9328.27,177.868,164.0394626,411.214,177.15
trial_922,2016,3.8761,0.035,10947.09,172.303,207.9359777,1118.637,183.821
trial_923,2016,4.2061,0.041,10258.8,182.524,200.1270625,1308.942,339.128
trial_924,2016,1.9648,0.039,5010.793,169.692,178.0200568,518.113,89.825
trial_925,2016,4.1046,0.041,10011.22,175.311,180.7954058,993.155,325.732
trial_926,2016,3.3508,0.037,8971.553,188.395,171.7849797,553.538,178.551
trial_927,2016,1.6051,0.025,6467.478,215.447,196.0,752.35,100.857
trial_928,2016,1.9958,0.031,6383.452,193.823,189.0,998.729,94.652
trial_929,2016,2.1076,0.039,5455.646,175.084,168.0,1314.988,100.61
trial_930,2016,4.132,0.041,10078.01,177.527,157.5484369,724.392,332.385
trial_931,2016,3.5751,0.041,8719.696,164.779,188.0,1069.85,180.611
trial_932,2016,3.3126,0.041,8079.544,161.536,159.7183633,702.131,257.638
trial_933,2016,1.5509,0.022,6926.229,195.138,194.7006545,519.356,100.11
trial_934,2016,3.5896,0.037,9650.508,192.465,181.9307427,796.29,207.314
trial_935,2016,2.6762,0.028,9420.227,206.64,173.4219757,379.65,170.84199999999998
trial_936,2016,4.1281,0.041,10068.56,179.936,175.6636197,901.841,389.745
trial_937,2016,2.9456,0.041,7184.369,175.77,149.0,697.943,161.788
trial_938,2016,4.4007,0.041,10733.42,181.559,147.1243856,608.564,394.521
trial_939,2016,3.2388,0.041,7899.481,160.239,209.0,1706.238,234.235
trial_940,2016,2.0314,0.04,5095.847,169.093,173.6886045,549.497,91.2
trial_941,2016,4.1136,0.041,10033.26,173.548,172.7460814,892.847,328.817
trial_942,2016,3.5386,0.041,8630.824,167.817,190.9104553,1319.418,323.367
trial_943,2016,3.3085,0.041,8069.479,155.694,164.0,1140.476,257.95
trial_944,2016,3.6784,0.039,9463.704,175.668,188.0,922.08,181.185
trial_945,2016,4.6265,0.041,11284.14,164.456,189.4095634,1003.686,342.06
trial_946,2016,0.9976,0.041,2433.166,184.528,174.0,590.652,46.451
trial_947,2016,1.9597,0.041,4779.659,151.216,173.0,883.659,80.29
trial_948,2016,4.9166,0.041,11991.71,190.023,187.5582848,743.207,294.07
trial_949,2016,2.7479,0.028,9734.396,194.283,165.4046739,373.941,169.065
trial_951,2016,4.1001,0.041,10000.26,180.427,194.0338542,1367.584,362.278
trial_952,2016,4.089,0.041,9973.231,183.876,152.5941172,649.515,335.889
trial_953,2016,1.8094,0.033,5523.293,197.981,196.0,1283.448,88.817
trial_954,2016,3.769,0.041,9192.604,167.972,193.0,1133.667,217.679
trial_955,2016,5.2628,0.041,12836.01,184.244,206.5938461,1041.454,314.135
trial_956,2016,4.804,0.041,11740.1,196.059,158.9513016,534.306,296.546
trial_957,2016,3.1968,0.041,7797.101,171.075,112.304606,452.841,286.025
trial_959,2016,4.4014,0.041,10735.15,149.099,183.5441327,887.281,303.904
trial_960,2016,4.1933,0.041,10227.6,184.293,196.5619278,1409.549,362.073
trial_961,2016,3.2071,0.041,7822.198,178.10999999999999,155.4156882,456.948,198.136
trial_962,2016,4.8422,0.041,11810.19,169.352,173.5729558,867.184,392.647
trial_964,2016,4.0961,0.041,9990.494,149.019,183.264565,932.134,275.707
trial_965,2016,2.4869,0.026,9543.679,189.317,195.2168713,800.602,146.349
trial_966,2016,4.3383,0.041,10581.27,188.207,151.2499128,636.979,358.313
trial_968,2016,4.3711,0.038,11456.78,195.956,186.4828776,796.265,238.658
trial_969,2016,3.9327,0.041,9591.849,143.025,187.3311478,912.945,264.406
trial_970,2016,4.3997,0.041,10730.99,175.75,167.6642499,1023.835,361.983
trial_971,2016,2.2081,0.041,5385.642,194.124,184.0,1004.884,102.008
trial_972,2016,3.9341,0.041,9595.478,178.285,143.525885,503.342,255.554
trial_973,2016,1.5949,0.022,7295.103,200.34,195.0,749.592,99.956
trial_974,2016,4.6598,0.041,11365.44,179.063,181.3447823,954.996,377.011
trial_975,2016,4.0543,0.041,9888.572,173.613,193.1998752,1006.649,333.76800000000003
trial_976,2016,3.4757,0.041,8477.362,181.682,189.0,1081.656,191.226
trial_977,2016,3.356,0.041,8185.283,162.196,207.5532628,1590.47,273.127
trial_978,2016,3.0551,0.041,7451.546,200.482,182.9661376,478.999,157.463
trial_979,2016,3.3682,0.032,10474.84,199.346,192.4396004,780.469,182.002
trial_980,2016,3.7441,0.041,9131.967,170.438,200.0252046,1423.094,312.582
trial_981,2016,3.8785,0.041,9459.69,172.905,191.0001084,1398.206,336.605
trial_982,2016,3.4689,0.033,10502.32,215.58,194.8233569,796.855,199.098
trial_984,2017,2.5724,0.032,8028.041,185.475,165.7946017,355.091,145.903
trial_985,2017,2.2816,0.028,8186.641,222.215,193.3555187,507.855,143.451
trial_986,2017,1.5945,0.025,6276.45,215.21,183.2965099,577.639,124.404
trial_987,2017,1.2758,0.031,4105.565,226.217,154.0,976.969,83.906
trial_988,2017,1.2547,0.033,3790.633,181.212,173.0,579.102,54.748
trial_989,2017,4.4454,0.04,11085.69,199.675,162.9387556,614.934,260.254
trial_990,2017,4.2677,0.035,12156.86,220.776,164.4940641,583.781,282.451
trial_991,2017,3.3208,0.034,9669.429,188.147,166.2490791,652.373,177.426
trial_992,2017,1.5199,0.022,6794.371,215.207,194.5086272,618.756,108.695
trial_993,2017,3.4236,0.033,10241.82,217.431,199.0,1157.914,206.454
trial_994,2017,1.803,0.026,7013.666,225.003,146.4618249,562.391,166.312
trial_995,2017,2.4423,0.029,8375.676,231.519,155.3112071,605.887,218.675
trial_996,2017,1.4185,0.024,5964.35,238.065,117.1704045,394.788,205.259
trial_997,2017,1.7093,0.035,4831.323,189.634,162.0271554,173.207,90.135
trial_998,2017,2.0067,0.031,6443.855,187.231,174.0,790.595,105.969
trial_999,2017,2.3346,0.037,6341.843,212.024,154.69139247,310.747,210.122
